Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result,url_entity_partial,category,url_entity_full
Gurarpan Kaur,15/26-2575 Dundas St W Mississauga ON L5K 2M6,Aesthetics,2023-02-01,,location.href = '/Portal/Facility/Details/cae56b61-215d-49ae-a650-1f627f870757' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/cae56b61-215d-49ae-a650-1f627f870757
Gwan Soon Lee Tattoos,102-220 Burnhamthorpe Rd W Mississauga ON L5B 4N4,Tattooing,2023-11-30,,location.href = '/Portal/Facility/Details/7c197876-16c3-4153-a4f9-ce675e13d3fb' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7c197876-16c3-4153-a4f9-ce675e13d3fb
H&M Hair & Spa,2-7235 Bellshire Gate Mississauga ON L5N 1A1,Manicure / Pedicure,2023-12-12,,location.href = '/Portal/Facility/Details/941f40c0-6bce-4ac7-8c9b-ed8d41f769b8' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/941f40c0-6bce-4ac7-8c9b-ed8d41f769b8
H.N. Beauty Studio,1425 Dundas St E Mississauga ON L4X 2W4,Micropigmentation,2024-03-15,,location.href = '/Portal/Facility/Details/30c71c1c-0022-4a88-9a23-392222efe690' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/30c71c1c-0022-4a88-9a23-392222efe690
Hair & Beauty Bar by Megha,103-4515 Ebenezer Rd Brampton ON L6P 2K7,Aesthetics,2024-02-21,,location.href = '/Portal/Facility/Details/54367311-1daf-4f97-a45a-7ae7c503970c' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/54367311-1daf-4f97-a45a-7ae7c503970c
Hair & Beauty Fair,4 Braemore Rd Brampton ON L6X 1E5,Hair Dressing / Barbering,2023-09-07,,location.href = '/Portal/Facility/Details/9202f23b-7cb3-4c97-a692-49650a6c187b' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/9202f23b-7cb3-4c97-a692-49650a6c187b
Hair & Co,15388 Airport Rd Caledon ON L7C 1E6,Hair Dressing / Barbering,2023-08-24,,location.href = '/Portal/Facility/Details/ffa986e3-084b-47f1-99cd-8dabbc38310e' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ffa986e3-084b-47f1-99cd-8dabbc38310e
Hair and Beauty Plus,6-230 Sandalwood Pky E Brampton ON L6Z 1R3,Hair Dressing / Barbering,2023-10-04,,location.href = '/Portal/Facility/Details/be73efdd-188f-4f9e-b433-3fb76e32de41' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/be73efdd-188f-4f9e-b433-3fb76e32de41
Hair Art Salon,1-26-2575 Dundas St W Mississauga ON L5K 2M6,Hair Dressing / Barbering,2023-09-12,,location.href = '/Portal/Facility/Details/6f92165a-3123-4918-b691-dacd7157e32f' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6f92165a-3123-4918-b691-dacd7157e32f
Hair Boutique by Jess,2-200-507 Lakeshore Rd E Mississauga ON L5G 1H9,Hair Dressing / Barbering,2023-03-30,,location.href = '/Portal/Facility/Details/ff584a4f-4aeb-493b-944e-559772001fc4' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ff584a4f-4aeb-493b-944e-559772001fc4
