Facility Name,Site Address,Last Inspection Date,Colour Posting,url_entity_partial,category,Type,Legislation,Status,Offence Date,Description,Status Updated,url_entity_full
Odete's Hairstyling,12 Salvia St  London ON N5Z 4T2,02/14/2023,,location.href = '/Portal/Facility/Details/b5e38e28-d169-45fc-96ec-abbaffa5afb8' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/b5e38e28-d169-45fc-96ec-abbaffa5afb8
Ashley's Esthetics,75 Front St W  Strathroy ON N7G 1X6,02/10/2023,,location.href = '/Portal/Facility/Details/6fdec947-8ba9-41b1-a065-0e960fe0e090' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/6fdec947-8ba9-41b1-a065-0e960fe0e090
Beauty Lash,162-230 Clarke Road  London ON N5W 5P8,02/09/2023,,location.href = '/Portal/Facility/Details/9c58283e-682a-406e-8b4d-2f72888d2c54' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/9c58283e-682a-406e-8b4d-2f72888d2c54
London Fades,531 Colborne St  London ON N6B 2T7,02/09/2023,,location.href = '/Portal/Facility/Details/06611712-fe7c-4650-b28b-35462de48ae1' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/06611712-fe7c-4650-b28b-35462de48ae1
Hair by Yvonne,150 Hesketh St  London ON N6G 5H5,02/08/2023,,location.href = '/Portal/Facility/Details/e14be48d-d5b2-4fb4-baa4-fe141bfdf569' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/e14be48d-d5b2-4fb4-baa4-fe141bfdf569
Renaissance Massage Therapy Clinic and Spa,201 Dundas  London ON N6A 1G4,02/07/2023,,location.href = '/Portal/Facility/Details/5e9f2ae4-ada6-4627-acdd-227f00dfd9a3' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/5e9f2ae4-ada6-4627-acdd-227f00dfd9a3
Uforia Esthetics,342 Dundas  London ON N6B 1V7,02/07/2023,,location.href = '/Portal/Facility/Details/ae9d409b-b0bf-4e55-a674-17487a56828f' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/ae9d409b-b0bf-4e55-a674-17487a56828f
Parlour,286 Dundas St  London ON N6B 1T6,02/07/2023,,location.href = '/Portal/Facility/Details/97901754-c36c-4526-90e8-43fdeba9caa4' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/97901754-c36c-4526-90e8-43fdeba9caa4
Hayley Alysse Aesthetics,171 Queens Ave  London ON N6A 5J7,02/07/2023,,location.href = '/Portal/Facility/Details/c8e0af45-1a1a-4892-88b8-4788d563973f' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/c8e0af45-1a1a-4892-88b8-4788d563973f
Dynasty Nail and Spa,2-1850 Adelaide St N  London Ontario N5X 4B7,02/07/2023,,location.href = '/Portal/Facility/Details/4fa00292-d113-43be-8ea8-24f8fdbd542b' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/4fa00292-d113-43be-8ea8-24f8fdbd542b
Forest City Tattoo Company,B-100 Wellington Rd  London ON N6C 4M8,02/07/2023,,location.href = '/Portal/Facility/Details/9337b1d2-3f8d-4792-8610-0797e6a5e2d2' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/9337b1d2-3f8d-4792-8610-0797e6a5e2d2
Charlene's Unisex Hairstyling,247 Deer Park Cir  London ON N6H 3C2,02/06/2023,,location.href = '/Portal/Facility/Details/d105a85d-2c29-47f2-80a0-3688da3b0e25' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/d105a85d-2c29-47f2-80a0-3688da3b0e25
Hair Station,1225 Wonderland Rd N  London ON N6G 2B9,02/06/2023,,location.href = '/Portal/Facility/Details/74e75793-1efb-45dc-a2f8-552e9da8e1ee' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/74e75793-1efb-45dc-a2f8-552e9da8e1ee
Deb's Place,43 Tweedsmuir Ave  London ON N5W 1K6,02/06/2023,,location.href = '/Portal/Facility/Details/50160799-0892-4f19-87b7-35d64f7961f1' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/50160799-0892-4f19-87b7-35d64f7961f1
Janice's Hair Design,154 Elgin St  London ON N5Z 2T8,02/06/2023,,location.href = '/Portal/Facility/Details/921adb01-ec56-40c5-920c-c4fa0c758368' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/921adb01-ec56-40c5-920c-c4fa0c758368
